id,elevated,has_insurance,relocated,trust_in_insurance,trust_in_neighbors,memory,flood_threshold
Agent_1,False,True,False,0.29,0.53,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods,0.57
Agent_2,False,True,False,0.24,0.43,A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents,0.85
Agent_3,False,True,False,0.46,0.54,The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods,0.65
Agent_4,False,False,False,0.38,0.36,A few households in the area elevated their homes before recent floods | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents,0.86
Agent_5,False,True,False,0.25,0.45,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods,0.63
Agent_6,False,False,False,0.21,0.45,Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents,0.51
Agent_7,False,False,False,0.47,0.51,A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims,0.7
Agent_8,False,True,False,0.48,0.41,A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims,0.7
Agent_9,False,True,False,0.36,0.38,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods,0.56
Agent_10,False,False,False,0.32,0.38,"Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.89
Agent_11,False,False,False,0.35,0.47,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods,0.42
Agent_12,False,True,False,0.49,0.36,"The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims",0.59
Agent_13,False,True,False,0.4,0.49,"The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.47
