group,run,agent_id,year,rr_type,ta,action,sim_retry_count,gov_intervention,trace_outcome,trace_retry,trace_skill,trace_rule,trace_line
Group_A,Run_1,Agent_5,3,low_threat_structural,L,elevation,,,,,,,
Group_A,Run_1,Agent_26,3,low_threat_structural,L,elevation,,,,,,,
Group_A,Run_1,Agent_99,3,high_threat_inaction,H,do_nothing,,,,,,,
Group_A,Run_1,Agent_9,4,high_threat_inaction,H,do_nothing,,,,,,,
Group_A,Run_1,Agent_87,4,low_threat_structural,L,elevation,,,,,,,
Group_A,Run_1,Agent_41,7,high_threat_inaction,H,do_nothing,,,,,,,
Group_A,Run_1,Agent_28,9,high_threat_inaction,H,do_nothing,,,,,,,
Group_A,Run_1,Agent_48,9,high_threat_inaction,H,do_nothing,,,,,,,
Group_A,Run_1,Agent_52,9,low_threat_structural,L,elevation,,,,,,,
Group_A,Run_1,Agent_53,9,high_threat_inaction,H,do_nothing,,,,,,,
Group_A,Run_1,Agent_64,9,high_threat_inaction,H,do_nothing,,,,,,,
Group_A,Run_1,Agent_82,9,high_threat_inaction,H,do_nothing,,,,,,,
Group_A,Run_1,Agent_95,9,high_threat_inaction,H,do_nothing,,,,,,,
Group_A,Run_1,Agent_27,10,low_threat_structural,L,elevation,,,,,,,
Group_A,Run_2,Agent_40,1,high_threat_inaction,H,do_nothing,,,,,,,
Group_A,Run_2,Agent_99,2,high_threat_inaction,H,do_nothing,,,,,,,
Group_A,Run_2,Agent_28,3,high_threat_inaction,H,do_nothing,,,,,,,
Group_A,Run_2,Agent_53,3,high_threat_inaction,H,do_nothing,,,,,,,
Group_A,Run_2,Agent_74,3,high_threat_inaction,H,do_nothing,,,,,,,
Group_A,Run_2,Agent_73,4,high_threat_inaction,H,do_nothing,,,,,,,
Group_A,Run_2,Agent_17,9,high_threat_inaction,H,do_nothing,,,,,,,
Group_B,Run_1,Agent_31,3,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,231
Group_B,Run_1,Agent_56,3,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,255
Group_B,Run_1,Agent_82,3,high_threat_inaction,H,do_nothing,3,False,REJECTED,3,do_nothing,extreme_threat_block,281
