model,group,run,n_active,n_executed,n_rr_proposal,n_rr_executed,n_rh_proposal,n_rh_executed,R_H_proposal,R_R_proposal,H_norm_k4_proposal,EHE_k4_proposal,R_H_executed,R_R_executed,H_norm_k4_executed,EHE_k4_executed
gemma3_4b,Group_A,Run_1,998,998,14,14,0,0,0.0,0.014028056112224449,0.4111065280520773,0.4111065280520773,0.0,0.014028056112224449,0.4111065280520773,0.4111065280520773
gemma3_4b,Group_A,Run_2,1000,1000,7,7,0,0,0.0,0.007,0.29433205716972666,0.29433205716972666,0.0,0.007,0.29433205716972666,0.29433205716972666
gemma3_4b,Group_A,Run_3,1000,1000,6,6,0,0,0.0,0.006,0.3056061939373715,0.3056061939373715,0.0,0.006,0.3056061939373715,0.3056061939373715
gemma3_4b,Group_B,Run_1,855,750,5,0,0,0,0.0,0.005847953216374269,0.7897164187658736,0.7897164187658736,0.0,0.0,0.7881754034797076,0.7881754034797076
gemma3_4b,Group_B,Run_2,846,791,2,0,0,0,0.0,0.002364066193853428,0.7230144736300923,0.7230144736300923,0.0,0.0,0.6987618489432615,0.6987618489432615
gemma3_4b,Group_B,Run_3,899,812,10,0,0,0,0.0,0.011123470522803115,0.7008390890288079,0.7008390890288079,0.0,0.0,0.6909645864706152,0.6909645864706152
gemma3_4b,Group_C,Run_1,857,729,20,0,0,0,0.0,0.023337222870478413,0.8042974383631718,0.8042974383631718,0.0,0.0,0.8023962300558451,0.8023962300558451
gemma3_4b,Group_C,Run_2,879,830,2,0,0,0,0.0,0.0022753128555176336,0.7518517549090671,0.7518517549090671,0.0,0.0,0.7412864433437367,0.7412864433437367
gemma3_4b,Group_C,Run_3,946,891,1,0,0,0,0.0,0.0010570824524312897,0.7000562532756408,0.7000562532756408,0.0,0.0,0.6879558840825742,0.6879558840825742
gemma3_12b,Group_A,Run_1,999,999,5,5,0,0,0.0,0.005005005005005005,0.4637376327099713,0.4637376327099713,0.0,0.005005005005005005,0.4637376327099713,0.4637376327099713
gemma3_12b,Group_A,Run_2,958,958,5,5,0,0,0.0,0.005219206680584551,0.48733673442470127,0.48733673442470127,0.0,0.005219206680584551,0.48733673442470127,0.48733673442470127
gemma3_12b,Group_A,Run_3,980,980,6,6,0,0,0.0,0.006122448979591836,0.4612025334700081,0.4612025334700081,0.0,0.006122448979591836,0.4612025334700081,0.4612025334700081
gemma3_12b,Group_B,Run_1,883,881,0,0,0,0,0.0,0.0,0.4781154556420319,0.4781154556420319,0.0,0.0,0.47382007497822287,0.47382007497822287
gemma3_12b,Group_B,Run_2,802,800,1,0,0,0,0.0,0.0012468827930174563,0.5263403211385841,0.5263403211385841,0.0,0.0,0.5221905972487594,0.5221905972487594
gemma3_12b,Group_B,Run_3,944,940,1,0,0,0,0.0,0.001059322033898305,0.44311001721862636,0.44311001721862636,0.0,0.0,0.4404474840723573,0.4404474840723573
gemma3_12b,Group_C,Run_1,962,962,0,0,0,0,0.0,0.0,0.47275010693019903,0.47275010693019903,0.0,0.0,0.47275010693019903,0.47275010693019903
gemma3_12b,Group_C,Run_2,974,971,1,0,0,0,0.0,0.001026694045174538,0.37147539572536886,0.37147539572536886,0.0,0.0,0.3683338452227366,0.3683338452227366
gemma3_12b,Group_C,Run_3,998,997,0,0,0,0,0.0,0.0,0.426407754217374,0.426407754217374,0.0,0.0,0.4266993858417633,0.4266993858417633
