model,group,run,has_simulation_log
gemma3_4b,Group_A,Run_1,1
gemma3_4b,Group_A,Run_2,1
gemma3_4b,Group_A,Run_3,0
gemma3_4b,Group_B,Run_1,1
gemma3_4b,Group_B,Run_2,1
gemma3_4b,Group_B,Run_3,0
gemma3_4b,Group_C,Run_1,1
gemma3_4b,Group_C,Run_2,1
gemma3_4b,Group_C,Run_3,0
gemma3_12b,Group_A,Run_1,1
gemma3_12b,Group_A,Run_2,1
gemma3_12b,Group_A,Run_3,0
gemma3_12b,Group_B,Run_1,1
gemma3_12b,Group_B,Run_2,1
gemma3_12b,Group_B,Run_3,0
gemma3_12b,Group_C,Run_1,1
gemma3_12b,Group_C,Run_2,1
gemma3_12b,Group_C,Run_3,0
gemma3_27b,Group_A,Run_1,1
gemma3_27b,Group_A,Run_2,1
gemma3_27b,Group_A,Run_3,0
gemma3_27b,Group_B,Run_1,1
gemma3_27b,Group_B,Run_2,0
gemma3_27b,Group_B,Run_3,0
gemma3_27b,Group_C,Run_1,1
gemma3_27b,Group_C,Run_2,0
gemma3_27b,Group_C,Run_3,0
ministral3_3b,Group_A,Run_1,1
ministral3_3b,Group_A,Run_2,0
ministral3_3b,Group_A,Run_3,0
ministral3_3b,Group_B,Run_1,1
ministral3_3b,Group_B,Run_2,0
ministral3_3b,Group_B,Run_3,0
ministral3_3b,Group_C,Run_1,1
ministral3_3b,Group_C,Run_2,0
ministral3_3b,Group_C,Run_3,0
ministral3_8b,Group_A,Run_1,1
ministral3_8b,Group_A,Run_2,0
ministral3_8b,Group_A,Run_3,0
ministral3_8b,Group_B,Run_1,1
ministral3_8b,Group_B,Run_2,0
ministral3_8b,Group_B,Run_3,0
ministral3_8b,Group_C,Run_1,1
ministral3_8b,Group_C,Run_2,0
ministral3_8b,Group_C,Run_3,0
ministral3_14b,Group_A,Run_1,1
ministral3_14b,Group_A,Run_2,0
ministral3_14b,Group_A,Run_3,0
ministral3_14b,Group_B,Run_1,1
ministral3_14b,Group_B,Run_2,0
ministral3_14b,Group_B,Run_3,0
ministral3_14b,Group_C,Run_1,1
ministral3_14b,Group_C,Run_2,0
ministral3_14b,Group_C,Run_3,0
