model,group,proposal_rr_pct,executed_rr_pct,proposal_n,executed_n
gemma3_4b,Group_A,1.051,1.051,1998,1998
gemma3_4b,Group_B,0.412,0.0,1701,1541
gemma3_4b,Group_C,1.267,0.0,1736,1559
gemma3_12b,Group_A,0.511,0.511,1957,1957
gemma3_12b,Group_B,0.059,0.0,1685,1681
gemma3_12b,Group_C,0.052,0.0,1936,1933
gemma3_27b,Group_A,12.0,12.0,2000,2000
gemma3_27b,Group_B,0.0,0.0,1980,1976
gemma3_27b,Group_C,0.0,0.0,1997,1987
ministral3_3b,Group_A,8.393,8.393,1966,1966
ministral3_3b,Group_B,0.498,0.0,1406,1040
ministral3_3b,Group_C,0.068,0.0,1469,1342
ministral3_8b,Group_A,1.11,1.11,1982,1982
ministral3_8b,Group_B,0.0,0.0,1871,1772
ministral3_8b,Group_C,0.0,0.0,1653,1568
ministral3_14b,Group_A,1.806,1.806,1938,1938
ministral3_14b,Group_B,0.0,0.0,1718,1644
ministral3_14b,Group_C,0.0,0.0,1840,1738
