agent_id,survey_id,cell,mg,tenure,income,income_bracket,household_size,generations,has_vehicle,has_children,has_elderly,housing_cost_burden,mg_criteria_met,longitude,latitude,grid_x,grid_y,flood_zone,flood_depth,zipcode,rcv_building,rcv_contents,tp_score,cp_score,sc_score,pa_score,sp_score,flood_experience,flood_frequency,sfha_awareness,elevated,has_insurance,relocated,cumulative_damage,cumulative_oop,memory_flood_exp,memory_insurance,memory_social,memory_gov_trust,memory_place,memory_zone
H0001,6329bd3e699f53922a5da47c,MG-Owner,True,Owner,20000.0,"Less than $25,000",4,1,True,True,False,True,True,-74.255027,40.88667,360,310,HIGH,1.975,7480,324993.07,139059.78,2.91,3.0,3.17,3.56,1.33,False,0,True,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though Iam aware my area is in a f...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I have been living here for 1 generation. I feel comfortable but could see moving if necessary.,My property is in a high-risk flood zone. I know this area floods regularly.
H0002,676c3f1a779ded5787343064,MG-Owner,True,Owner,37500.0,"$35,000 to $39,999",3,1,True,False,False,True,True,-74.312789,40.870841,152,367,HIGH,1.028,8758,268623.38,81930.71,2.82,3.12,3.17,2.89,2.67,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a high-risk flood zone. I recently learned this is a Special Flood Hazard Area.
H0003,67aa4c3d54c8e17bcc8a7975,MG-Owner,True,Owner,100000.0,"More than $74,999",3,1,False,True,False,True,True,-74.237254,40.933046,424,143,LOW,0.0,7666,340051.19,120720.17,2.64,2.88,3.83,3.11,4.0,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I trust that government programs like Blue Acres and FEMA can help people recover from floods.,I have been living here for 1 generation. I feel comfortable but could see moving if necessary.,My property is in a low-risk area for flooding.
H0004,677b71754229c2e3c5a7786f,MG-Owner,True,Owner,20000.0,"Less than $25,000",2,1,True,False,False,True,True,-74.273078,40.926659,295,166,MEDIUM,0.043,8823,442171.83,152391.05,3.09,2.75,3.5,3.33,1.67,False,0,False,False,True,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I have Private flood insurance flood insurance for my property.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I have been living here for 1 generation. I feel comfortable but could see moving if necessary.,My area has moderate flood risk. Some nearby areas flood but my specific location has been mostly...
H0005,677d50ee63c5cc384a8579b7,MG-Owner,True,Owner,100000.0,"More than $74,999",1,1,False,False,False,True,True,-74.32473,40.89389,109,284,HIGH,3.48,7302,261006.05,116746.5,2.64,2.88,3.83,3.33,3.0,True,2,True,False,True,False,0.0,0.0,I experienced flooding at my home 1 to 5 years ago. The damage was significant and caused financi...,I have Private flood insurance flood insurance for my property.,I know some of my neighbors and we occasionally talk about local issues.,I have mixed feelings about government flood assistance programs.,I have been living here for 1 generation. I feel comfortable but could see moving if necessary.,My property is in a high-risk flood zone. I know this area floods regularly.
H0006,6643b8017df0302da95397b1,MG-Owner,True,Owner,37500.0,"$35,000 to $39,999",5,1,True,True,False,True,True,-74.245863,40.863899,393,392,LOW,0.0,8234,261007.34,113626.91,2.45,3.0,2.33,2.22,2.33,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I mostly keep to myself and don't interact much with neighbors.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a low-risk area for flooding.
H0007,6654f1a24ff45623af24e3aa,MG-Owner,True,Owner,20000.0,"Less than $25,000",3,1,True,False,False,True,True,-74.288629,40.958317,239,52,MEDIUM,0.412,7026,449687.75,215146.77,2.82,2.0,1.0,1.22,1.0,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I mostly keep to myself and don't interact much with neighbors.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My area has moderate flood risk. Some nearby areas flood but my specific location has been mostly...
H0008,5dea7a7df87f5519e686ff7b,MG-Owner,True,Owner,20000.0,"Less than $25,000",1,1,True,False,True,True,True,-74.271967,40.87945,299,336,MEDIUM,0.389,8028,352489.21,111875.76,2.36,2.12,4.0,2.89,2.33,False,0,True,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though Iam aware my area is in a f...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I have strong connections with my neighbors. We look out for each other and share information abo...,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My area has moderate flood risk. Some nearby areas flood but my specific location has been mostly...
H0009,5cf4bf2e7e2e1400177f2cc8,MG-Owner,True,Owner,27500.0,"$25,000 to $29,999",4,1,True,False,True,True,True,-74.254194,40.891113,363,294,HIGH,1.482,7840,243215.36,93488.18,3.91,3.88,4.0,2.89,2.67,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I have strong connections with my neighbors. We look out for each other and share information abo...,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a high-risk flood zone. I recently learned this is a Special Flood Hazard Area.
H0010,676c3f1a779ded5787343064,MG-Owner,True,Owner,37500.0,"$35,000 to $39,999",3,1,True,False,False,True,True,-74.262525,40.896112,333,276,HIGH,1.909,8758,329493.83,100811.75,2.82,3.12,3.17,2.89,2.67,False,0,False,False,False,False,0.0,0.0,"I have not personally experienced flooding at my current home, though I am not sure about my floo...",I do not currently have flood insurance. The premiums seem expensive relative to my income.,I know some of my neighbors and we occasionally talk about local issues.,I don't have much faith in government flood programs. Past experience has shown they are slow to ...,I am a homeowner here but don't feel strongly tied to this specific location.,My property is in a high-risk flood zone. I recently learned this is a Special Flood Hazard Area.
