agent_id,year,decision,raw_llm_code,raw_llm_decision,threat_appraisal,coping_appraisal,memory,trust_in_insurance,trust_in_neighbors,elevated,has_insurance,relocated,flooded_this_year
Agent_1,1,Only Flood Insurance,1,Buy flood insurance,"I feel moderately threatened by the possibility of future flood damage, but the lack of recent flooding reduces the immediate sense of urgency.","I feel confident that I can manage the financial burden of insurance, but less sure about my ability to afford the high upfront cost of elevation or the life changes required for relocation.",A few households in the area elevated their homes before recent floods | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.36,0.39,False,True,False,False
Agent_2,1,Do Nothing,4,Do nothing,"I feel moderately threatened by the potential for flooding in the future, but not extremely urgent given the lack of recent floods.","I feel moderately confident that I could take action to protect my home, but the costs and effort involved are significant.",News outlets have reported a possible trends of increasing flood frequency and severity in recent years | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.3,0.46,False,False,False,False
Agent_3,1,Both Flood Insurance and House Elevation,1,Buy flood insurance,"The threat of flooding feels less immediate due to the lack of recent floods, but the possibility of future damage remains concerning despite my elevated home.","My elevated home provides a strong sense of security, and while I remain skeptical, the option to buy insurance offers another layer of financial protection that I can confidently pursue if needed.",The city previously introduced a program offering elevation support to residents | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 3% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.28,0.4,True,True,False,False
Agent_4,1,Do Nothing,4,Do nothing,"I feel moderately threatened by the possibility of future floods, despite no recent event, due to news reports, but not extremely urgent.","I feel uncertain about my ability to effectively and affordably prepare, given the high costs and my doubts about insurance and neighbors' actions.",Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated. | Suddenly recalled: 'News outlets have reported a possible trend of increasing flood frequency and severity in recent years'.,0.42,0.34,False,False,False,False
Agent_5,1,Only Flood Insurance,1,Buy flood insurance,"I feel a low level of threat from flood risk because no flood has occurred yet, despite knowing it is a possibility.","I feel moderately confident in my ability to cope with the costs of potential future flood damage, but also feel uncertain about the effectiveness and cost of taking proactive measures like insurance or elevation.",A few households in the area elevated their homes before recent floods | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.44,0.41,False,True,False,False
Agent_6,1,Do Nothing,4,Do nothing,"I feel moderately threatened by the possibility of future flood damage, though the lack of a recent flood and low neighbor activity lessen my immediate anxiety.","I feel capable of assessing the situation further but hesitant to incur costs without a clear, immediate threat.",The city previously introduced a program offering elevation support to residents | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.35,0.49,False,False,False,False
Agent_7,1,Both Flood Insurance and House Elevation,2,Elevate the house,I feel a moderate threat from the ongoing flood risk despite no flood this year.,I feel confident in my ability to take action to protect my home.,The city previously introduced a program offering elevation support to residents | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.36,0.49,True,True,False,False
Agent_8,1,Only Flood Insurance,1,Buy flood insurance,"Although no flood occurred this year, reports of insurance claim delays and my neighbors' cautious approaches suggest ongoing flood risk, making me feel moderately threatened but not overly anxious about immediate danger.","I feel moderately confident in my ability to handle the situation, especially since flood insurance seems like a manageable option despite my doubts, and I trust my neighbors' judgment.",Some residents reported delays when processing their flood insurance claims | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.23,0.51,False,True,False,False
Agent_9,1,Do Nothing,4,Do nothing,"The absence of a flood last year slightly reduces my sense of urgency, but the low elevation rate among neighbors and my doubts about insurance leave me feeling moderately vulnerable and uncertain about the severity.","I feel moderately confident in my ability to weigh options, but the high cost and complexity of elevation make me uncertain about my capacity to pursue it effectively.",The city previously introduced a program offering elevation support to residents | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.21,0.52,False,False,False,False
Agent_10,1,Do Nothing,4,Do nothing,"I feel moderately threatened by the possibility of future flood damage despite the lack of a flood this year, knowing my home is currently vulnerable.","I feel uncertain about my ability to effectively cope with potential flood damage or implement costly protective measures like elevation, especially given my doubts about the effectiveness of insurance.",The city previously introduced a program offering elevation support to residents | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.41,0.44,False,False,False,False
Agent_11,1,Do Nothing,4,Do nothing,"I feel moderately threatened by the possibility of flooding despite the lack of recent events, mainly due to reports of insurance claim delays and the high potential costs involved.",I feel moderately capable of coping with the financial and logistical aspects of flood damage but very uncertain about my ability to undertake the complex and expensive process of elevation or relocation.,Some residents reported delays when processing their flood insurance claims | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.34,0.38,False,False,False,False
Agent_12,1,Only Flood Insurance,1,Buy flood insurance,"I feel only a slight threat from the remaining flood risk, knowing it hasn't materialized yet.","I feel moderately capable of coping with the risk or taking action, though the high cost of elevation makes it daunting.",Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated. | Suddenly recalled: 'Some residents reported delays when processing their flood insurance claims'.,0.35,0.54,False,True,False,False
Agent_13,1,Only Flood Insurance,1,Buy flood insurance,"Although no flood occurred this year, the possibility of future flooding feels moderately threatening given the insurance claim issues and the lack of widespread elevation among neighbors.","My confidence in taking major actions like elevation or relocation is low due to their high costs and effort, but I feel somewhat capable of managing the situation with my existing flood insurance.",Some residents reported delays when processing their flood insurance claims | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.44,0.43,False,True,False,False
Agent_14,1,Do Nothing,4,Do nothing,"Despite no flood last year and community reports of increasing flood risk, I don't feel personally threatened by the possibility of future flooding.","I feel moderately confident about taking action, but the high cost of elevation and the complexity of insurance deter me.",News outlets have reported a possible trends of increasing flood frequency and severity in recent years | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.29,0.52,False,False,False,False
Agent_15,1,Do Nothing,4,Do nothing,"Although I am aware of flood risks, the fact that no flood occurred this year and my doubts about insurance reduce my immediate sense of threat.","I feel uncertain about my ability to effectively protect my home, especially given the high cost and effort involved in elevation, and my skepticism about neighbors' success.",A few households in the area elevated their homes before recent floods | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.26,0.43,False,False,False,False
Agent_16,1,Do Nothing,4,Do nothing,I feel only slightly threatened by the possibility of future flood damage despite the past flood event elsewhere in the city.,"I feel moderately capable of coping financially if a flood occurs, but my confidence in taking proactive measures like elevation is low due to its high cost and the skepticism I hold towards my neighbors' choices.","A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.",0.34,0.46,False,False,False,False
Agent_17,1,Only Flood Insurance,1,Buy flood insurance,"I feel a moderate threat from potential future floods, especially considering the possibility of insurance claim delays, even though no flood occurred this year.","I feel reasonably confident that buying flood insurance is a manageable step to mitigate financial risks, even with some doubts about insurance companies.",Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated. | Suddenly recalled: 'Some residents reported delays when processing their flood insurance claims'.,0.43,0.53,False,True,False,False
