agent_id,year,decision,raw_llm_code,raw_llm_decision,threat_appraisal,coping_appraisal,memory,trust_in_insurance,trust_in_neighbors,elevated,has_insurance,relocated,flooded_this_year
Agent_1,1,Do Nothing,4,Do nothing,"I feel moderately threatened by future flooding because my home is not elevated and the community has low protection despite available grants. Coping Appraisal: I believe I can cope by buying affordable flood insurance, which offers some financial protection even though I remain skeptical about the insurer. Final Decision: 1",,A few households in the area elevated their homes before recent floods | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.32,0.39,False,False,False,False
Agent_2,1,Both Flood Insurance and House Elevation,2,Elevate the house,I feel significantly threatened by the possibility of a future flood that could cause severe damage and financial loss.,"While I recognize the high effectiveness of elevating my house, the substantial cost and uncertainty about my capacity make me unsure whether I can feasibly complete the project.","Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated. | Suddenly recalled: 'A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all'.",0.34,0.46,True,True,False,False
Agent_3,1,Both Flood Insurance and House Elevation,1,Buy flood insurance,"I feel a moderate threat from flooding because my home is elevated but not fully protected, and the lack of insurance leaves potential financial exposure.","I believe I can purchase flood insurance and maintain my elevation, though my doubts about insurers reduce my confidence somewhat.",The city previously introduced a program offering elevation support to residents | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 3% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.28,0.4,True,True,False,False
Agent_4,1,Only House Elevation,2,Elevate the house,"I feel moderately threatened by future flood risk because recent evidence shows some neighbors have already elevated and grants are available, indicating the risk is real and potentially severe.","I believe I can effectively cope by elevating my home, with grants reducing cost and my confidence in hiring professionals ensuring success.",A few households in the area elevated their homes before recent floods | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.42,0.34,True,False,False,False
Agent_5,1,Only House Elevation,2,Elevate the house,"I feel significantly threatened by the possibility of severe property damage and loss should a flood occur, even though none has happened yet.",I believe I can effectively protect my home by taking advantage of available elevation grants and my confidence in managing the process is strong.,A few households in the area elevated their homes before recent floods | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.4,0.41,True,False,False,False
Agent_6,1,Only House Elevation,2,Elevate the house,"The potential for a severe flood remains, but the lack of recent flooding lessens my immediate concern.",I feel capable of applying for elevation assistance and believe it would effectively protect my home.,The city previously introduced a program offering elevation support to residents | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.35,0.49,True,False,False,False
Agent_7,1,Only Flood Insurance,1,Buy flood insurance,"I feel moderately threatened by future floods because the city has a history of flooding and the damage is severe, but the lack of a recent flood and existing insurance give me some reassurance.","I think I can cope by buying insurance because it is low cost and easy to obtain, though I have some doubts about the insurer's reliability.",The city previously introduced a program offering elevation support to residents | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.36,0.49,False,True,False,False
Agent_8,1,Do Nothing,4,Do nothing,"I feel moderately threatened by future flooding risk, given community vulnerability and past insurance delays.","My confidence in effectively protecting my home is low, as insurance reliability is doubtful and elevation costs are high.",Some residents reported delays when processing their flood insurance claims | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.19,0.51,False,False,False,False
Agent_9,1,Only House Elevation,2,Elevate the house,"I feel moderately threatened by the possibility of future flooding, knowing that a flood could cause severe damage to my home and finances.","I believe I can effectively protect my home by using elevation grants or purchasing flood insurance, though each has costs and uncertainties, so I feel cautiously confident in my ability to act.",The city previously introduced a program offering elevation support to residents | Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated.,0.21,0.52,True,False,False,False
Agent_10,1,Do Nothing,4,Do nothing,"I perceive flooding as a serious risk that could severely damage my home, but I feel it is unlikely to happen soon.","I doubt my ability to afford or implement effective protection measures, so I feel uncertain about my capacity to manage this threat.",Year 1: No flood occurred this year. | Year 1: Elevation grants are available. | Year 1: I observe 4% of my neighbors have elevated homes. | Year 1: I observe 0% of my neighbors have relocated. | Suddenly recalled: 'The city previously introduced a program offering elevation support to residents'.,0.41,0.44,False,False,False,False
