id,elevated,has_insurance,relocated,trust_in_insurance,trust_in_neighbors,memory,flood_threshold
Agent_1,FALSE,FALSE,FALSE,0.34,0.4,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods,0.84
Agent_2,FALSE,TRUE,FALSE,0.32,0.47,The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods | News outlets have reported a possible trends of increasing flood frequency and severity in recent years,0.83
Agent_3,TRUE,FALSE,FALSE,0.26,0.41,Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents,0.66
Agent_4,FALSE,FALSE,FALSE,0.44,0.35,News outlets have reported a possible trends of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods,0.9
Agent_5,FALSE,FALSE,FALSE,0.42,0.42,News outlets have reported a possible trends of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods,0.63
Agent_6,FALSE,FALSE,FALSE,0.37,0.5,A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents,0.41
Agent_7,FALSE,TRUE,FALSE,0.34,0.5,A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents,0.68
Agent_8,FALSE,FALSE,FALSE,0.21,0.52,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims",0.55
Agent_9,FALSE,FALSE,FALSE,0.23,0.53,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents",0.5
Agent_10,FALSE,FALSE,FALSE,0.43,0.45,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents",0.79
Agent_11,FALSE,TRUE,FALSE,0.36,0.39,News outlets have reported a possible trends of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims,0.77
Agent_12,FALSE,FALSE,FALSE,0.33,0.55,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trends of increasing flood frequency and severity in recent years",0.87
Agent_13,FALSE,TRUE,FALSE,0.42,0.44,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims",0.53
Agent_14,FALSE,FALSE,FALSE,0.31,0.53,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods | News outlets have reported a possible trends of increasing flood frequency and severity in recent years",0.58
Agent_15,FALSE,FALSE,FALSE,0.28,0.44,The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trends of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods,0.63
Agent_16,FALSE,TRUE,FALSE,0.36,0.47,"A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.64
Agent_17,FALSE,FALSE,FALSE,0.41,0.54,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trends of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods",0.62
Agent_18,FALSE,TRUE,FALSE,0.32,0.41,The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims,0.57
Agent_19,FALSE,FALSE,FALSE,0.28,0.53,Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents,0.85
Agent_20,FALSE,TRUE,FALSE,0.46,0.52,"Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents",0.55
Agent_21,FALSE,TRUE,FALSE,0.32,0.37,"The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.5
Agent_22,FALSE,TRUE,FALSE,0.38,0.4,News outlets have reported a possible trends of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents,0.88
Agent_23,FALSE,FALSE,FALSE,0.22,0.44,"News outlets have reported a possible trends of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.68
Agent_24,FALSE,FALSE,FALSE,0.42,0.49,"A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents",0.68
Agent_25,FALSE,FALSE,FALSE,0.33,0.54,"News outlets have reported a possible trends of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods",0.88
Agent_26,FALSE,FALSE,FALSE,0.27,0.54,A few households in the area elevated their homes before recent floods | News outlets have reported a possible trends of increasing flood frequency and severity in recent years,0.66
