agent_id,year,decision,flood,cumulative_state,elevated,has_insurance,relocated,raw_skill,outcome
Agent_1,1,Only House Elevation,False,Only House Elevation,True,False,False,elevate_house,APPROVED
Agent_2,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_3,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_4,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_5,1,Only House Elevation,False,Only House Elevation,True,False,False,elevate_house,APPROVED
Agent_6,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_7,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_8,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_9,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_10,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_11,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_12,1,Relocate,False,Relocate,False,True,True,relocate,APPROVED
Agent_13,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_14,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_15,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_16,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_17,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_18,1,Only House Elevation,False,Only House Elevation,True,False,False,elevate_house,APPROVED
Agent_19,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_20,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_21,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_22,1,Only Flood Insurance,False,Only Flood Insurance,False,True,False,buy_insurance,APPROVED
Agent_23,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_24,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_25,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_26,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_27,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_28,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_29,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_30,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_31,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_32,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_33,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_34,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_35,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_36,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_37,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_38,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_39,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_40,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_41,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_42,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_43,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_44,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_45,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_46,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_47,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_48,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_49,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_50,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_51,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_52,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_53,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_54,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_55,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_56,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_57,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_58,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_59,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_60,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_61,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_62,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_63,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_64,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_65,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_66,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_67,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_68,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_69,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_70,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_71,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_72,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_73,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_74,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_75,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_76,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_77,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_78,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_79,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_80,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_81,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_82,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_83,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_84,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_85,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_86,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_87,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_88,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_89,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_90,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_91,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_92,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_93,1,Only Flood Insurance,False,Only Flood Insurance,False,True,False,buy_insurance,APPROVED
Agent_94,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_95,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_96,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_97,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_98,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_99,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_100,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_1,2,Only House Elevation,False,Only House Elevation,True,False,False,do_nothing,APPROVED
Agent_2,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_3,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
Agent_4,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,APPROVED
