agent_id,year,cumulative_state,elevated,has_insurance,relocated,trust_insurance,trust_neighbors
Agent_1,1,Only House Elevation,True,False,False,0.22,0.42
Agent_2,1,Only Flood Insurance,False,True,False,0.22,0.51
Agent_3,1,Only Flood Insurance,False,True,False,0.48000000000000004,0.42
Agent_4,1,Only Flood Insurance,False,True,False,0.29000000000000004,0.42
Agent_5,1,Only House Elevation,True,False,False,0.21000000000000002,0.38999999999999996
Agent_6,1,Do Nothing,False,False,False,0.27999999999999997,0.42
Agent_7,1,Only Flood Insurance,False,True,False,0.47000000000000003,0.41
Agent_8,1,Only House Elevation,True,False,False,0.2,0.42
Agent_9,1,Only House Elevation,True,False,False,0.26999999999999996,0.42
Agent_10,1,Only Flood Insurance,False,True,False,0.22,0.51
Agent_11,1,Only House Elevation,True,False,False,0.22,0.5700000000000001
Agent_12,1,Only House Elevation,True,False,False,0.26999999999999996,0.39999999999999997
Agent_13,1,Only House Elevation,True,False,False,0.21000000000000002,0.48
Agent_14,1,Only House Elevation,True,False,False,0.26999999999999996,0.54
Agent_15,1,Only House Elevation,True,False,False,0.43,0.53
Agent_16,1,Only House Elevation,True,False,False,0.31,0.5
Agent_17,1,Only House Elevation,True,False,False,0.26999999999999996,0.56
Agent_18,1,Only Flood Insurance,False,True,False,0.25,0.45999999999999996
Agent_19,1,Only House Elevation,True,False,False,0.44999999999999996,0.39999999999999997
Agent_20,1,Only Flood Insurance,False,True,False,0.39,0.43
Agent_21,1,Only House Elevation,True,False,False,0.42,0.42
Agent_22,1,Only House Elevation,True,False,False,0.47,0.52
Agent_23,1,Only Flood Insurance,False,True,False,0.28,0.5800000000000001
Agent_24,1,Only Flood Insurance,False,True,False,0.5,0.54
Agent_25,1,Only House Elevation,True,False,False,0.21000000000000002,0.51
Agent_26,1,Only House Elevation,True,False,False,0.26,0.38999999999999996
Agent_27,1,Only Flood Insurance,False,True,False,0.36000000000000004,0.42
Agent_28,1,Only Flood Insurance,False,True,False,0.35000000000000003,0.5700000000000001
Agent_29,1,Only Flood Insurance,False,True,False,0.29000000000000004,0.45999999999999996
Agent_30,1,Only House Elevation,True,False,False,0.22,0.49
Agent_31,1,Only House Elevation,True,False,False,0.27999999999999997,0.42
Agent_32,1,Only House Elevation,True,False,False,0.31,0.44
Agent_33,1,Only House Elevation,True,False,False,0.44,0.5900000000000001
Agent_34,1,Only House Elevation,True,False,False,0.37,0.5700000000000001
Agent_35,1,Only House Elevation,True,False,False,0.25,0.5
Agent_36,1,Only Flood Insurance,False,True,False,0.52,0.39999999999999997
Agent_37,1,Only Flood Insurance,False,True,False,0.48000000000000004,0.55
Agent_38,1,Only Flood Insurance,False,True,False,0.43,0.44999999999999996
Agent_39,1,Only House Elevation,True,False,False,0.42,0.48
Agent_40,1,Only House Elevation,True,False,False,0.25,0.56
Agent_41,1,Only Flood Insurance,False,True,False,0.51,0.38999999999999996
Agent_42,1,Only Flood Insurance,False,True,False,0.37,0.45999999999999996
Agent_43,1,Only House Elevation,True,False,False,0.32,0.48
Agent_44,1,Only Flood Insurance,False,True,False,0.46,0.44
Agent_45,1,Only House Elevation,True,False,False,0.41,0.48
Agent_46,1,Only Flood Insurance,False,True,False,0.47000000000000003,0.48
Agent_47,1,Only House Elevation,True,False,False,0.33999999999999997,0.39999999999999997
Agent_48,1,Only House Elevation,True,False,False,0.45999999999999996,0.44
Agent_49,1,Do Nothing,False,False,False,0.44999999999999996,0.5900000000000001
Agent_50,1,Only House Elevation,True,False,False,0.42,0.48
Agent_51,1,Only House Elevation,True,False,False,0.44,0.51
Agent_52,1,Only Flood Insurance,False,True,False,0.47000000000000003,0.41
Agent_53,1,Only Flood Insurance,False,True,False,0.31,0.47
Agent_54,1,Only Flood Insurance,False,True,False,0.5,0.45999999999999996
Agent_55,1,Do Nothing,False,False,False,0.38999999999999996,0.51
Agent_56,1,Only House Elevation,True,False,False,0.44999999999999996,0.42
Agent_57,1,Only Flood Insurance,False,True,False,0.51,0.44999999999999996
Agent_58,1,Do Nothing,False,False,False,0.41,0.53
Agent_59,1,Only House Elevation,True,False,False,0.26,0.42
Agent_60,1,Only Flood Insurance,False,True,False,0.28,0.44999999999999996
Agent_61,1,Only House Elevation,True,False,False,0.26,0.38999999999999996
Agent_62,1,Only Flood Insurance,False,True,False,0.41000000000000003,0.44999999999999996
Agent_63,1,Only Flood Insurance,False,True,False,0.27,0.41
Agent_64,1,Only House Elevation,True,False,False,0.32999999999999996,0.45999999999999996
Agent_65,1,Only House Elevation,True,False,False,0.19,0.44999999999999996
Agent_66,1,Only Flood Insurance,False,True,False,0.27,0.5
Agent_67,1,Only Flood Insurance,False,True,False,0.27,0.44
Agent_68,1,Only Flood Insurance,False,True,False,0.35000000000000003,0.47
Agent_69,1,Only Flood Insurance,False,True,False,0.32,0.45999999999999996
Agent_70,1,Only Flood Insurance,False,True,False,0.36000000000000004,0.55
Agent_71,1,Only House Elevation,True,False,False,0.38,0.53
Agent_72,1,Only House Elevation,True,False,False,0.23,0.45999999999999996
Agent_73,1,Only House Elevation,True,False,False,0.45999999999999996,0.42
Agent_74,1,Only House Elevation,True,False,False,0.18000000000000002,0.48
Agent_75,1,Only House Elevation,True,False,False,0.21000000000000002,0.48
Agent_76,1,Only Flood Insurance,False,True,False,0.27,0.52
Agent_77,1,Only House Elevation,True,False,False,0.41,0.45999999999999996
Agent_78,1,Only House Elevation,True,False,False,0.41,0.38999999999999996
Agent_79,1,Only House Elevation,True,False,False,0.43,0.51
