agent_id,elevated,has_insurance,relocated,trust_ins,trust_neighbors,flood_threshold,memory
Agent_1,False,True,False,0.24,0.54,0.7,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents"
Agent_2,False,True,False,0.31,0.47,0.82,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods"
Agent_3,False,True,False,0.49,0.52,0.88,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims"
Agent_4,False,True,False,0.3,0.51,0.74,"The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims"
Agent_5,False,False,False,0.31,0.38,0.59,A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims
Agent_6,False,False,False,0.33,0.39,0.43,"A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_7,False,False,False,0.5,0.49,0.85,The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods
Agent_8,False,False,False,0.26,0.47,0.69,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents"
Agent_9,False,True,False,0.45,0.49,0.48,"The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods"
Agent_10,False,True,False,0.34,0.48,0.5,A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims
Agent_11,False,False,False,0.43,0.42,0.5,The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
Agent_12,False,True,False,0.27,0.35,0.51,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trend of increasing flood frequency and severity in recent years"
Agent_13,False,False,False,0.5,0.48,0.84,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents"
Agent_14,False,True,False,0.42,0.42,0.43,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods
Agent_15,False,True,False,0.25,0.5,0.75,The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years
Agent_16,False,True,False,0.31,0.5,0.7,A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents
Agent_17,False,False,False,0.27,0.43,0.82,Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents
Agent_18,False,True,False,0.43,0.38,0.53,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents
Agent_19,False,False,False,0.47,0.36,0.43,The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods
Agent_20,False,True,False,0.25,0.47,0.46,"A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents"
Agent_21,False,False,False,0.38,0.42,0.7,"A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all"
Agent_22,False,False,False,0.28,0.42,0.9,Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents
