model,group,n_runs,R_H_pct,R_R_pct,H_norm_k4,EHE_k4
gemma3_4b,Group_A,2,0.0,1.051,0.584,0.584
gemma3_4b,Group_B,2,0.0,0.411,0.756,0.756
gemma3_4b,Group_C,2,0.0,1.281,0.778,0.778
gemma3_12b,Group_A,2,0.0,0.511,0.486,0.486
gemma3_12b,Group_B,2,0.0,0.062,0.502,0.502
gemma3_12b,Group_C,2,0.0,0.051,0.422,0.422
gemma3_27b,Group_A,2,0.0,12.0,0.645,0.645
gemma3_27b,Group_B,2,0.0,0.0,0.623,0.623
gemma3_27b,Group_C,2,0.0,0.0,0.67,0.67
ministral3_3b,Group_A,2,0.0,8.38,0.445,0.445
ministral3_3b,Group_B,2,0.073,0.506,0.736,0.735
ministral3_3b,Group_C,2,0.0,0.065,0.682,0.682
ministral3_8b,Group_A,2,0.0,1.107,0.746,0.746
ministral3_8b,Group_B,2,0.0,0.0,0.622,0.622
ministral3_8b,Group_C,2,0.0,0.0,0.639,0.639
ministral3_14b,Group_A,2,0.0,1.806,0.488,0.488
ministral3_14b,Group_B,2,0.0,0.0,0.706,0.706
ministral3_14b,Group_C,2,0.0,0.0,0.699,0.699
