model,group,n_runs,R_R_executed_pct,R_H_executed_pct,EHE_k4_executed
gemma3_4b,Group_A,2,1.051,0.0,0.353
gemma3_4b,Group_B,2,0.0,0.0,0.743
gemma3_4b,Group_C,2,0.0,0.0,0.772
gemma3_12b,Group_A,2,0.511,0.0,0.476
gemma3_12b,Group_B,2,0.0,0.0,0.498
gemma3_12b,Group_C,2,0.0,0.0,0.421
gemma3_27b,Group_A,2,12.6,0.0,0.453
gemma3_27b,Group_B,2,0.0,0.0,0.623
gemma3_27b,Group_C,2,0.0,0.0,0.671
ministral3_3b,Group_A,2,8.431,0.0,0.458
ministral3_3b,Group_B,2,0.0,0.0,0.719
ministral3_3b,Group_C,2,0.0,0.0,0.654
ministral3_8b,Group_A,2,1.207,0.0,0.574
ministral3_8b,Group_B,2,0.0,0.0,0.618
ministral3_8b,Group_C,2,0.0,0.0,0.63
ministral3_14b,Group_A,2,2.115,0.0,0.667
ministral3_14b,Group_B,2,0.0,0.0,0.707
ministral3_14b,Group_C,2,0.0,0.0,0.695
