agent_id,year,decision,flood,cumulative_state,elevated,has_insurance,relocated,raw_skill,outcome,id,trust_in_insurance,trust_in_neighbors
Agent_1,1,Only Flood Insurance,False,Only Flood Insurance,False,True,False,buy_insurance,LOGGED,Agent_1,0.24,0.38
Agent_2,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_2,0.2,0.47
Agent_3,1,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_3,0.46,0.38
Agent_4,1,Only Flood Insurance,False,Only Flood Insurance,False,True,False,buy_insurance,LOGGED,Agent_4,0.27,0.38
Agent_5,1,Only Flood Insurance,False,Only Flood Insurance,False,True,False,buy_insurance,LOGGED,Agent_5,0.23,0.35
Agent_1,2,Only Flood Insurance,False,Only Flood Insurance,False,True,False,buy_insurance,LOGGED,Agent_1,0.24,0.38
Agent_2,2,Only Flood Insurance,False,Only Flood Insurance,False,True,False,buy_insurance,LOGGED,Agent_2,0.2,0.47
Agent_3,2,Relocate,False,Relocate,False,False,True,relocate,LOGGED,Agent_3,0.46,0.38
Agent_4,2,Only Flood Insurance,False,Only Flood Insurance,False,True,False,buy_insurance,LOGGED,Agent_4,0.27,0.38
Agent_5,2,Do Nothing,False,Do Nothing,False,False,False,do_nothing,LOGGED,Agent_5,0.23,0.35
