agent_id,year,cumulative_state,elevated,has_insurance,relocated,trust_insurance,trust_neighbors
Agent_1,1,Do Nothing,False,False,False,0.22,0.37
Agent_10,1,Only Flood Insurance,False,True,False,0.22,0.45999999999999996
Agent_100,1,Only House Elevation,True,False,False,0.2,0.47
Agent_11,1,Do Nothing,False,False,False,0.22,0.52
Agent_12,1,Do Nothing,False,False,False,0.26999999999999996,0.35
Agent_13,1,Do Nothing,False,False,False,0.21000000000000002,0.43
Agent_14,1,Do Nothing,False,False,False,0.26999999999999996,0.49
Agent_15,1,Do Nothing,False,False,False,0.43,0.48
Agent_16,1,Do Nothing,False,False,False,0.31,0.45
Agent_17,1,Do Nothing,False,False,False,0.26999999999999996,0.51
Agent_18,1,Do Nothing,False,False,False,0.21000000000000002,0.41
Agent_19,1,Do Nothing,False,False,False,0.44999999999999996,0.35
Agent_2,1,Do Nothing,False,False,False,0.18000000000000002,0.45999999999999996
Agent_20,1,Do Nothing,False,False,False,0.35,0.38
Agent_21,1,Do Nothing,False,False,False,0.42,0.37
Agent_22,1,Do Nothing,False,False,False,0.47,0.47
Agent_23,1,Only Flood Insurance,False,True,False,0.28,0.53
Agent_24,1,Do Nothing,False,False,False,0.45999999999999996,0.49
Agent_25,1,Only Flood Insurance,False,True,False,0.25,0.45999999999999996
Agent_26,1,Do Nothing,False,False,False,0.26,0.33999999999999997
Agent_27,1,Do Nothing,False,False,False,0.32,0.37
Agent_28,1,Do Nothing,False,False,False,0.31,0.52
Agent_29,1,Only House Elevation,True,False,False,0.25,0.41
Agent_3,1,Do Nothing,False,False,False,0.44,0.37
Agent_30,1,Only Flood Insurance,False,True,False,0.26,0.44
Agent_31,1,Do Nothing,False,False,False,0.27999999999999997,0.37
Agent_32,1,Do Nothing,False,False,False,0.31,0.39
Agent_33,1,Only House Elevation,True,False,False,0.44,0.54
Agent_34,1,Only House Elevation,True,False,False,0.37,0.52
Agent_35,1,Do Nothing,False,False,False,0.25,0.45
Agent_36,1,Do Nothing,False,False,False,0.48,0.35
Agent_37,1,Do Nothing,False,False,False,0.44,0.5
Agent_38,1,Do Nothing,False,False,False,0.38999999999999996,0.39999999999999997
Agent_39,1,Do Nothing,False,False,False,0.42,0.43
Agent_4,1,Do Nothing,False,False,False,0.25,0.37
Agent_40,1,Do Nothing,False,False,False,0.25,0.51
Agent_41,1,Only House Elevation,True,False,False,0.47,0.33999999999999997
Agent_42,1,Do Nothing,False,False,False,0.32999999999999996,0.41
Agent_43,1,Do Nothing,False,False,False,0.32,0.43
Agent_44,1,Do Nothing,False,False,False,0.42,0.39
Agent_45,1,Only Flood Insurance,False,True,False,0.45,0.43
Agent_46,1,Do Nothing,False,False,False,0.43,0.43
Agent_47,1,Do Nothing,False,False,False,0.33999999999999997,0.35
Agent_48,1,Do Nothing,False,False,False,0.45999999999999996,0.39
Agent_49,1,Do Nothing,False,False,False,0.44999999999999996,0.54
Agent_5,1,Do Nothing,False,False,False,0.21000000000000002,0.33999999999999997
Agent_50,1,Do Nothing,False,False,False,0.42,0.43
Agent_51,1,Only Flood Insurance,False,True,False,0.48000000000000004,0.45999999999999996
Agent_52,1,Only Flood Insurance,False,True,False,0.47000000000000003,0.36
Agent_53,1,Do Nothing,False,False,False,0.26999999999999996,0.42
Agent_54,1,Do Nothing,False,False,False,0.45999999999999996,0.41
Agent_55,1,Do Nothing,False,False,False,0.38999999999999996,0.45999999999999996
Agent_56,1,Do Nothing,False,False,False,0.44999999999999996,0.37
Agent_57,1,Do Nothing,False,False,False,0.47,0.39999999999999997
Agent_58,1,Do Nothing,False,False,False,0.41,0.48
Agent_59,1,Do Nothing,False,False,False,0.26,0.37
Agent_6,1,Only House Elevation,True,False,False,0.27999999999999997,0.37
Agent_60,1,Only House Elevation,True,False,False,0.24000000000000002,0.39999999999999997
Agent_61,1,Do Nothing,False,False,False,0.26,0.33999999999999997
Agent_62,1,Do Nothing,False,False,False,0.37,0.39999999999999997
Agent_63,1,Do Nothing,False,False,False,0.23,0.36
Agent_64,1,Do Nothing,False,False,False,0.32999999999999996,0.41
Agent_65,1,Do Nothing,False,False,False,0.19,0.39999999999999997
Agent_66,1,Do Nothing,False,False,False,0.23,0.45
Agent_67,1,Only Flood Insurance,False,True,False,0.27,0.39
Agent_68,1,Do Nothing,False,False,False,0.31,0.42
Agent_69,1,Do Nothing,False,False,False,0.27999999999999997,0.41
Agent_7,1,Do Nothing,False,False,False,0.43,0.36
Agent_70,1,Do Nothing,False,False,False,0.32,0.5
Agent_71,1,Do Nothing,False,False,False,0.38,0.48
Agent_72,1,Do Nothing,False,False,False,0.23,0.41
Agent_73,1,Do Nothing,False,False,False,0.45999999999999996,0.37
Agent_74,1,Do Nothing,False,False,False,0.18000000000000002,0.43
Agent_75,1,Do Nothing,False,False,False,0.21000000000000002,0.43
Agent_76,1,Do Nothing,False,False,False,0.23,0.47
Agent_77,1,Do Nothing,False,False,False,0.41,0.41
Agent_78,1,Do Nothing,False,False,False,0.41,0.33999999999999997
Agent_79,1,Only Flood Insurance,False,True,False,0.47000000000000003,0.45999999999999996
Agent_8,1,Do Nothing,False,False,False,0.2,0.37
Agent_80,1,Do Nothing,False,False,False,0.37,0.43
Agent_81,1,Do Nothing,False,False,False,0.37,0.35
Agent_82,1,Do Nothing,False,False,False,0.2,0.36
Agent_83,1,Do Nothing,False,False,False,0.3,0.38
Agent_84,1,Do Nothing,False,False,False,0.44999999999999996,0.41
Agent_85,1,Do Nothing,False,False,False,0.41,0.42
Agent_86,1,Do Nothing,False,False,False,0.29,0.48
Agent_87,1,Do Nothing,False,False,False,0.45999999999999996,0.51
Agent_88,1,Do Nothing,False,False,False,0.47,0.41
Agent_89,1,Do Nothing,False,False,False,0.21000000000000002,0.48
Agent_9,1,Do Nothing,False,False,False,0.26999999999999996,0.37
Agent_90,1,Only Flood Insurance,False,True,False,0.37,0.33999999999999997
Agent_91,1,Do Nothing,False,False,False,0.24000000000000002,0.41
Agent_92,1,Do Nothing,False,False,False,0.23,0.41
Agent_93,1,Do Nothing,False,False,False,0.21000000000000002,0.45999999999999996
Agent_94,1,Do Nothing,False,False,False,0.27999999999999997,0.5
Agent_95,1,Do Nothing,False,False,False,0.24000000000000002,0.47
Agent_96,1,Do Nothing,False,False,False,0.38,0.49
Agent_97,1,Do Nothing,False,False,False,0.42,0.47
Agent_98,1,Do Nothing,False,False,False,0.45999999999999996,0.45
Agent_99,1,Do Nothing,False,False,False,0.35,0.45
Agent_1,2,Only Flood Insurance,False,True,False,0.24,0.36
Agent_10,2,Only Flood Insurance,False,True,False,0.24,0.44999999999999996
Agent_100,2,Only House Elevation,True,False,False,0.18000000000000002,0.45999999999999996
Agent_11,2,Do Nothing,False,False,False,0.2,0.51
Agent_12,2,Do Nothing,False,False,False,0.24999999999999997,0.33999999999999997
Agent_13,2,Do Nothing,False,False,False,0.19000000000000003,0.42
Agent_14,2,Do Nothing,False,False,False,0.24999999999999997,0.48
Agent_15,2,Do Nothing,False,False,False,0.41,0.47
Agent_16,2,Do Nothing,False,False,False,0.29,0.44
Agent_17,2,Do Nothing,False,False,False,0.24999999999999997,0.5
Agent_18,2,Do Nothing,False,False,False,0.19000000000000003,0.39999999999999997
Agent_19,2,Do Nothing,False,False,False,0.42999999999999994,0.33999999999999997
Agent_2,2,Only Flood Insurance,False,True,False,0.2,0.44999999999999996
Agent_20,2,Do Nothing,False,False,False,0.32999999999999996,0.37
Agent_21,2,Do Nothing,False,False,False,0.39999999999999997,0.36
Agent_22,2,Do Nothing,False,False,False,0.44999999999999996,0.45999999999999996
Agent_23,2,Do Nothing,False,False,False,0.26,0.52
Agent_24,2,Do Nothing,False,False,False,0.43999999999999995,0.48
Agent_25,2,Do Nothing,False,False,False,0.23,0.44999999999999996
Agent_26,2,Do Nothing,False,False,False,0.24000000000000002,0.32999999999999996
Agent_27,2,Do Nothing,False,False,False,0.3,0.36
Agent_28,2,Do Nothing,False,False,False,0.29,0.51
Agent_29,2,Only House Elevation,True,False,False,0.23,0.39999999999999997
Agent_3,2,Do Nothing,False,False,False,0.42,0.36
Agent_30,2,Do Nothing,False,False,False,0.24000000000000002,0.43
Agent_31,2,Do Nothing,False,False,False,0.25999999999999995,0.36
Agent_32,2,Do Nothing,False,False,False,0.29,0.38
Agent_33,2,Only House Elevation,True,False,False,0.42,0.53
Agent_34,2,Only House Elevation,True,False,False,0.35,0.51
Agent_35,2,Do Nothing,False,False,False,0.23,0.44
Agent_36,2,Do Nothing,False,False,False,0.45999999999999996,0.33999999999999997
Agent_37,2,Do Nothing,False,False,False,0.42,0.49
Agent_38,2,Do Nothing,False,False,False,0.36999999999999994,0.38999999999999996
Agent_39,2,Only Flood Insurance,False,True,False,0.44,0.42
Agent_4,2,Do Nothing,False,False,False,0.23,0.36
Agent_40,2,Do Nothing,False,False,False,0.23,0.5
Agent_41,2,Only House Elevation,True,False,False,0.44999999999999996,0.32999999999999996
Agent_42,2,Do Nothing,False,False,False,0.30999999999999994,0.39999999999999997
Agent_43,2,Do Nothing,False,False,False,0.3,0.42
Agent_44,2,Do Nothing,False,False,False,0.39999999999999997,0.38
Agent_45,2,Do Nothing,False,False,False,0.43,0.42
Agent_46,2,Do Nothing,False,False,False,0.41,0.42
Agent_47,2,Do Nothing,False,False,False,0.31999999999999995,0.33999999999999997
Agent_48,2,Do Nothing,False,False,False,0.43999999999999995,0.38
Agent_49,2,Do Nothing,False,False,False,0.42999999999999994,0.53
Agent_5,2,Do Nothing,False,False,False,0.19000000000000003,0.32999999999999996
Agent_50,2,Do Nothing,False,False,False,0.39999999999999997,0.42
Agent_51,2,Do Nothing,False,False,False,0.46,0.44999999999999996
Agent_52,2,Do Nothing,False,False,False,0.45,0.35
Agent_53,2,Do Nothing,False,False,False,0.24999999999999997,0.41
Agent_54,2,Only Flood Insurance,False,True,False,0.48,0.39999999999999997
Agent_55,2,Do Nothing,False,False,False,0.36999999999999994,0.44999999999999996
Agent_56,2,Do Nothing,False,False,False,0.42999999999999994,0.36
Agent_57,2,Do Nothing,False,False,False,0.44999999999999996,0.38999999999999996
Agent_58,2,Do Nothing,False,False,False,0.38999999999999996,0.47
Agent_59,2,Do Nothing,False,False,False,0.24000000000000002,0.36
Agent_6,2,Only House Elevation,True,False,False,0.25999999999999995,0.36
Agent_60,2,Only House Elevation,True,False,False,0.22000000000000003,0.38999999999999996
Agent_61,2,Do Nothing,False,False,False,0.24000000000000002,0.32999999999999996
Agent_62,2,Do Nothing,False,False,False,0.35,0.38999999999999996
Agent_63,2,Do Nothing,False,False,False,0.21000000000000002,0.35
Agent_64,2,Do Nothing,False,False,False,0.30999999999999994,0.39999999999999997
Agent_65,2,Do Nothing,False,False,False,0.17,0.38999999999999996
Agent_66,2,Do Nothing,False,False,False,0.21000000000000002,0.44
Agent_67,2,Do Nothing,False,False,False,0.25,0.38
Agent_68,2,Do Nothing,False,False,False,0.29,0.41
Agent_69,2,Do Nothing,False,False,False,0.25999999999999995,0.39999999999999997
Agent_7,2,Do Nothing,False,False,False,0.41,0.35
Agent_70,2,Do Nothing,False,False,False,0.3,0.49
Agent_71,2,Do Nothing,False,False,False,0.36,0.47
Agent_72,2,Do Nothing,False,False,False,0.21000000000000002,0.39999999999999997
Agent_73,2,Do Nothing,False,False,False,0.43999999999999995,0.36
Agent_74,2,Do Nothing,False,False,False,0.16000000000000003,0.42
Agent_75,2,Only Flood Insurance,False,True,False,0.23,0.42
Agent_76,2,Do Nothing,False,False,False,0.21000000000000002,0.45999999999999996
Agent_77,2,Do Nothing,False,False,False,0.38999999999999996,0.39999999999999997
Agent_78,2,Do Nothing,False,False,False,0.38999999999999996,0.32999999999999996
Agent_79,2,Do Nothing,False,False,False,0.45,0.44999999999999996
Agent_8,2,Do Nothing,False,False,False,0.18000000000000002,0.36
Agent_80,2,Do Nothing,False,False,False,0.35,0.42
Agent_81,2,Do Nothing,False,False,False,0.35,0.33999999999999997
Agent_82,2,Do Nothing,False,False,False,0.18000000000000002,0.35
Agent_83,2,Do Nothing,False,False,False,0.27999999999999997,0.37
Agent_84,2,Do Nothing,False,False,False,0.42999999999999994,0.39999999999999997
Agent_85,2,Do Nothing,False,False,False,0.38999999999999996,0.41
Agent_86,2,Do Nothing,False,False,False,0.26999999999999996,0.47
Agent_87,2,Do Nothing,False,False,False,0.43999999999999995,0.5
Agent_88,2,Do Nothing,False,False,False,0.44999999999999996,0.39999999999999997
Agent_89,2,Do Nothing,False,False,False,0.19000000000000003,0.47
Agent_9,2,Do Nothing,False,False,False,0.24999999999999997,0.36
Agent_90,2,Do Nothing,False,False,False,0.35,0.32999999999999996
Agent_91,2,Do Nothing,False,False,False,0.22000000000000003,0.39999999999999997
Agent_92,2,Do Nothing,False,False,False,0.21000000000000002,0.39999999999999997
Agent_93,2,Do Nothing,False,False,False,0.19000000000000003,0.44999999999999996
Agent_94,2,Only Flood Insurance,False,True,False,0.3,0.49
Agent_95,2,Do Nothing,False,False,False,0.22000000000000003,0.45999999999999996
Agent_96,2,Do Nothing,False,False,False,0.36,0.48
Agent_97,2,Do Nothing,False,False,False,0.39999999999999997,0.45999999999999996
Agent_98,2,Do Nothing,False,False,False,0.43999999999999995,0.44
Agent_99,2,Do Nothing,False,False,False,0.32999999999999996,0.44
Agent_1,3,Do Nothing,False,False,False,0.29,0.35
Agent_10,3,Do Nothing,False,False,False,0.22,0.43999999999999995
Agent_100,3,Both Flood Insurance and House Elevation,True,True,False,0.2,0.44999999999999996
Agent_11,3,Only Flood Insurance,False,True,False,0.1,0.5
Agent_12,3,Do Nothing,False,False,False,0.22999999999999998,0.32999999999999996
