agent_id,year,cumulative_state,elevated,has_insurance,relocated,trust_insurance,trust_neighbors
Agent_1,1,Do Nothing,False,False,False,0.22,0.37
Agent_10,1,Do Nothing,False,False,False,0.18000000000000002,0.45999999999999996
Agent_100,1,Do Nothing,False,False,False,0.2,0.47
Agent_11,1,Do Nothing,False,False,False,0.22,0.52
Agent_12,1,Do Nothing,False,False,False,0.26999999999999996,0.35
Agent_1,2,Do Nothing,False,False,False,0.2,0.36
Agent_10,2,Do Nothing,False,False,False,0.16000000000000003,0.44999999999999996
Agent_100,2,Do Nothing,False,False,False,0.18000000000000002,0.45999999999999996
Agent_11,2,Do Nothing,False,False,False,0.2,0.51
Agent_12,2,Do Nothing,False,False,False,0.24999999999999997,0.33999999999999997
